domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance
Kota Jakarta Timur,Perempuan,Single,0,D2,4.0,9.02,Corporate Strategy & Communications,Staff,3100943.0,0.0,Low,Excellent,25,429,9302829.0,18605658.0,43413202.0,3100943.0,1.1275,Mid-term,2.8,1,3100943.0,3,1033647.6666666666,1.8000000000000005
Tangerang,Laki-laki,Single,0,SLTA,2.0,9.8,Engineering & IT,Staff,1146038.0,0.0,High,Good,26,410,3438114.0,6876228.0,14898494.0,1146038.0,1.225,Mid-term,4.333333333333333,1,1146038.0,1,1146038.0,2.6
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,0.0,9.45,Creative & Design,Manager,8013796.410191284,0.0,High,Excellent,43,776,24041389.23057385,48082778.4611477,200344910.25478208,2671265.4700637613,1.18125,Mid-term,25.0,4,2003449.102547821,1,8013796.410191284,3.0
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,0.0,9.76,Marketing,Manager,10150021.822620776,0.0,Very High,Outstanding,43,778,30450065.467862327,60900130.93572465,253750545.5655194,2537505.455655194,1.22,Mid-term,25.0,4,2537505.455655194,1,10150021.822620776,4.0
Kota Jakarta Pusat,Laki-laki,Married,1,SLTA,8.0,9.46,Operations,Staff,2548043.0,0.0,Low,Excellent,36,405,7644129.0,15288258.0,33124559.0,1274021.5,1.1825,Mid-term,1.4444444444444444,1,2548043.0,1,2548043.0,1.8000000000000005
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,9.0,9.54,Corporate Strategy & Communications,Staff,2299692.0,0.0,High,Excellent,40,516,6899076.0,13798152.0,39094764.0,766564.0,1.1925,Mid-term,1.7,1,2299692.0,1,2299692.0,3.0
Kota Bekasi,Perempuan,Single,0,D3,0.0,9.13,Engineering & IT,Staff,3041221.0,0.0,Low,Low,27,450,9123663.0,18247326.0,45618315.0,3041221.0,1.14125,Mid-term,0.0,1,3041221.0,4,760305.25,1.0
Tangerang,Perempuan,Single,0,D2,7.0,9.02,Operations,Staff,4106256.0,0.0,Low,Low,28,890,12318768.0,24637536.0,119081424.0,4106256.0,1.1275,Mid-term,3.625,1,4106256.0,3,1368752.0,1.0
Tangerang,Perempuan,Married,1,D3,2.0,9.39,Marketing,Staff,3385357.0,0.0,Low,Good,29,405,10156071.0,20312142.0,44009641.0,1692678.5,1.17375,Mid-term,4.333333333333333,1,3385357.0,4,846339.25,1.4
Kota Jakarta Pusat,Laki-laki,Married,1,D1,3.0,9.28,Engineering & IT,Staff,4697126.0,0.0,High,Low,30,866,14091378.0,28182756.0,131519528.0,2348563.0,1.16,Mid-term,7.0,1,4697126.0,2,2348563.0,2.2
