domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,absence_ratio,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,married_dependent_ratio,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance,resign_risk_indicator,adjusted_work_time
Kota Jakarta Utara,Laki-laki,Married,1,SLTA,9.0,9.28,Corporate Strategy & Communications,Staff,1418218,0.0,High,Low,41.0,863,4254654,8509308,39710104,0.9385863267670916,709109.0,1.16,Mid-term,2.8,2,1,1418218.0,1,1418218.0,2.2,Medium,9.246870289567632
Kabupaten Bekasi,Perempuan,Married,1,SLTA,0.0,9.65,Marketing,Staff,1060575,0.0,Medium,Low,37.0,400,3181725,6363450,13787475,0.0,530287.5,1.20625,Mid-term,13.0,2,1,1060575.0,1,1060575.0,1.6,Medium,9.65
Kota Jakarta Barat,Laki-laki,Married,4,D2,4.0,9.83,Corporate Strategy & Communications,Staff,4885136,0.0,Low,Low,54.0,822,14655408,29310816,131898672,0.437956204379562,977027.2,1.22875,Mid-term,5.4,5,1,4885136.0,3,1628378.6666666667,1.0,Medium,9.813825586178528
Kota Jakarta Pusat,Laki-laki,Married,1,D3,2.0,9.77,Creative & Design,Staff,4602479,0.0,Medium,Excellent,36.0,488,13807437,27614874,73639664,0.3688524590163934,2301239.5,1.22125,Mid-term,5.333333333333333,2,1,4602479.0,4,1150619.75,2.4000000000000004,Medium,9.756439972241498
Kabupaten Bogor,Perempuan,Married,3,SLTA,0.0,9.08,Corporate Strategy & Communications,Staff,1066966,0.0,High,Good,47.0,774,3200898,6401796,26674150,0.0,266741.5,1.135,Mid-term,25.0,4,1,1066966.0,1,1066966.0,2.6,Medium,9.08
Kabupaten Bogor,Perempuan,Married,2,D3,8.0,9.05,Engineering & IT,Staff,3462970,0.0,Low,Low,56.0,642,10388910,20777820,72722370,1.1214953271028036,1154323.3333333333,1.13125,Mid-term,2.333333333333333,3,1,3462970.0,4,865742.5,1.0,Medium,9.011713379164464
Kota Depok,Laki-laki,Married,2,D3,2.0,9.49,Finance & Accounting,Staff,3918148,0.0,Medium,Excellent,54.0,560,11754444,23508888,70526664,0.3214285714285714,1306049.3333333333,1.18625,Mid-term,6.0,3,1,3918148.0,4,979537.0,2.4000000000000004,Medium,9.478291178285009
Kota Jakarta Barat,Perempuan,Married,1,SLTA,13.0,9.86,Marketing,Staff,1407988,0.0,High,Low,41.0,412,4223964,8447928,18303844,2.8398058252427187,703994.0,1.2325,Mid-term,0.9285714285714286,2,1,1407988.0,1,1407988.0,2.2,Medium,9.75053800170794
Kota Jakarta Barat,Laki-laki,Married,3,D2,2.0,9.73,Operations,Staff,4205490,0.0,High,Excellent,49.0,858,12616470,25232940,117753720,0.2097902097902098,1051372.5,1.21625,Mid-term,9.333333333333334,4,1,4205490.0,3,1401830.0,3.0,Medium,9.722280840936136
Kota Jakarta Utara,Perempuan,Married,1,D2,2.0,9.47,Marketing,Staff,3993961,0.0,Medium,Low,25.0,869,11981883,23963766,111830908,0.2071346375143843,1996980.5,1.18375,Mid-term,9.333333333333334,2,1,3993961.0,3,1331320.3333333333,1.6,Medium,9.46248710829036
Kota Jakarta Barat,Perempuan,Married,3,D1,8.0,9.84,Operations,Staff,3273694,0.0,Low,Excellent,40.0,495,9821082,19642164,52379104,1.4545454545454546,818423.5,1.23,Mid-term,1.7777777777777777,4,1,3273694.0,2,1636847.0,1.8000000000000005,Medium,9.785371269951424
Kota Depok,Laki-laki,Single,0,SLTA,12.0,9.7,Finance & Accounting,Staff,1894375,0.0,Low,Excellent,27.0,421,5683125,11366250,26521250,2.565320665083135,1894375.0,1.2125,Mid-term,1.0769230769230769,1,1,1894375.0,1,1894375.0,1.8000000000000005,Medium,9.607692307692307
