iter	RMSE
0	13.58808486
1	12.62483223
2	11.87960578
3	11.01202277
4	10.24267735
5	9.467276747
6	8.836266406
7	8.326046733
8	7.699500054
9	7.162245325
10	6.634236654
11	6.226534161
12	5.925392597
13	5.505306039
14	5.281901805
15	4.96460665
16	4.646961549
17	4.32976997
18	4.1094694
19	3.834591208
20	3.58965108
21	3.450988126
22	3.270843636
23	3.138291781
24	2.988050539
25	2.910438669
26	2.811270012
27	2.700498133
28	2.597133725
29	2.511189922
30	2.401120456
31	2.300900425
32	2.209069421
33	2.129311046
34	2.069363841
35	1.985829305
36	1.911280855
37	1.894515034
38	1.838204222
39	1.785170681
40	1.753675201
41	1.722030076
42	1.67876843
43	1.635079647
44	1.609427669
45	1.583104609
46	1.561084152
47	1.544661982
48	1.530253458
49	1.487070936
50	1.468509458
51	1.445780775
52	1.419436702
53	1.4031835
54	1.381988161
55	1.366214971
56	1.339571223
57	1.335983582
58	1.322972843
59	1.312056185
60	1.298794996
61	1.296696703
62	1.280953208
63	1.249517326
64	1.243758843
65	1.227270444
66	1.221913871
67	1.211554868
68	1.193791145
69	1.176309999
70	1.174147845
71	1.172532833
72	1.159681802
73	1.133306101
74	1.131125145
75	1.124145123
76	1.117783438
77	1.098780101
78	1.090352071
79	1.080510671
80	1.055927489
81	1.047317785
82	1.020559186
83	1.003359299
84	0.9950193282
85	0.9746072291
86	0.9687993118
87	0.9489509266
88	0.9442011043
89	0.9398444894
90	0.9370515146
91	0.9332178849
92	0.9282521398
93	0.9217443
94	0.9115363529
95	0.9104000641
96	0.9001327933
97	0.8980751773
98	0.8805792328
99	0.8776013304
100	0.8689851882
101	0.8658509989
102	0.8637627211
103	0.8484368731
104	0.8474248221
105	0.8426691853
106	0.8386346964
107	0.828156733
108	0.8151322579
109	0.8028484747
110	0.8002146222
111	0.7967169569
112	0.7887194594
113	0.7859952808
114	0.7683267416
115	0.7612673592
116	0.7470680063
117	0.7440705985
118	0.7329359942
119	0.731214222
120	0.7235059755
121	0.7180252256
122	0.711303956
123	0.7068539492
124	0.7028971453
125	0.6994256689
126	0.6916014901
127	0.688880964
128	0.6815975729
129	0.6806228975
130	0.6767720669
131	0.6720286893
132	0.6648085456
133	0.6580857251
134	0.6534814215
135	0.6488846656
136	0.6462204842
137	0.6405271727
138	0.6344025537
139	0.6263288023
140	0.6206817793
141	0.6174178304
142	0.6137299779
143	0.6099397343
144	0.607903817
145	0.6003292151
146	0.5931800265
147	0.5905489975
148	0.5873460873
149	0.5849497365
150	0.5826164565
151	0.5783740986
152	0.5735266304
153	0.5709951355
154	0.5673019496
155	0.5648214969
156	0.5623393232
157	0.559730852
158	0.5569077712
159	0.5557318946
160	0.5516971265
161	0.5468841888
162	0.5454300573
163	0.5412918096
164	0.5386432559
165	0.5364083166
166	0.5319892608
167	0.5295244769
168	0.5280213327
169	0.5263065175
170	0.5252276381
171	0.5239500987
172	0.522215478
173	0.5185456394
174	0.5151447764
175	0.5123790565
176	0.5105161478
177	0.5079036758
178	0.5050291032
179	0.5043777207
180	0.5013010667
181	0.4984627705
182	0.4968632745
183	0.4940402214
184	0.4928892254
185	0.4907074494
186	0.4876962696
187	0.4849914547
188	0.4844945497
189	0.4835907636
190	0.4817217575
191	0.4806926045
192	0.4781820036
193	0.4762474883
194	0.4744650541
195	0.4726753707
196	0.4707991554
197	0.4687009792
198	0.4686748537
199	0.468649655
200	0.4678309108
201	0.4664369881
202	0.4642083806
203	0.4627366442
204	0.462426993
205	0.4604194306
206	0.4603836971
207	0.4584066347
208	0.4565947727
209	0.454641595
210	0.4525193871
211	0.4515078063
212	0.4507703892
213	0.4489555654
214	0.4481694343
215	0.44764777
216	0.4472988696
217	0.4466756899
218	0.4463571454
219	0.4449564513
220	0.4433930265
221	0.4420229053
222	0.4408451324
223	0.4399067036
224	0.4392330829
225	0.438938476
226	0.436577457
227	0.4365593699
228	0.4365254657
229	0.4364881079
230	0.4360124705
231	0.4356380031
