iter	Passed	Remaining
0	21	10693
1	47	11830
2	71	11953
3	96	11989
4	120	11996
5	141	11754
6	167	11890
7	186	11514
8	211	11596
9	230	11346
10	254	11402
11	279	11422
12	293	11072
13	317	11096
14	343	11173
15	378	11532
16	418	11965
17	449	12106
18	477	12167
19	511	12348
20	541	12422
21	566	12390
22	594	12397
23	621	12401
24	647	12387
25	678	12452
26	705	12437
27	731	12402
28	759	12411
29	788	12433
30	815	12413
31	842	12396
32	869	12390
33	897	12377
34	925	12369
35	951	12347
36	978	12326
37	994	12164
38	1023	12180
39	1060	12270
40	1095	12347
41	1124	12337
42	1152	12333
43	1192	12435
44	1224	12463
45	1252	12441
46	1284	12464
47	1312	12444
48	1341	12426
49	1400	12691
50	1455	12901
51	1485	12881
52	1511	12834
53	1541	12817
54	1570	12790
55	1599	12770
56	1628	12739
57	1657	12713
58	1678	12635
59	1706	12601
60	1735	12578
61	1767	12573
62	1798	12558
63	1827	12535
64	1856	12513
65	1884	12476
66	1912	12445
67	1939	12405
68	1966	12365
69	1992	12324
70	2010	12234
71	2034	12179
72	2062	12148
73	2089	12113
74	2114	12068
75	2138	12013
76	2163	11968
77	2187	11921
78	2212	11874
79	2236	11825
80	2261	11781
81	2287	11743
82	2313	11704
83	2335	11651
84	2361	11610
85	2386	11571
86	2411	11529
87	2435	11486
88	2461	11447
89	2485	11407
90	2511	11371
91	2537	11335
92	2563	11299
93	2589	11268
94	2617	11240
95	2637	11183
96	2675	11197
97	2707	11188
98	2736	11165
99	2772	11174
100	2802	11154
101	2830	11128
102	2859	11104
103	2887	11078
104	2916	11056
105	2945	11031
106	2973	11004
107	3001	10977
108	3029	10951
109	3057	10924
110	3092	10921
111	3120	10894
112	3148	10867
113	3177	10843
114	3207	10821
115	3237	10800
116	3266	10777
117	3312	10806
118	3348	10803
119	3385	10805
120	3415	10783
121	3460	10805
122	3490	10783
123	3519	10758
124	3550	10737
125	3579	10711
126	3616	10705
127	3650	10694
128	3685	10685
129	3721	10676
130	3755	10663
131	3790	10653
132	3831	10659
133	3876	10674
134	3917	10677
135	3956	10677
136	3995	10674
137	4033	10668
138	4070	10659
139	4109	10654
140	4151	10657
141	4190	10652
142	4226	10640
143	4265	10633
144	4304	10627
145	4340	10614
146	4376	10598
147	4410	10580
